Bandit,Reward,Algorithm
3.0,4.212352575600664,EpsilonGreedy
3.0,3.8074740682535104,EpsilonGreedy
3.0,4.0972137205854615,EpsilonGreedy
3.0,4.523076292914043,EpsilonGreedy
3.0,4.427244407426975,EpsilonGreedy
3.0,5.332572527348211,EpsilonGreedy
3.0,5.0590164009815695,EpsilonGreedy
3.0,3.88718789085296,EpsilonGreedy
3.0,4.940731547933853,EpsilonGreedy
3.0,4.687308379587844,EpsilonGreedy
3.0,4.8779798479833785,EpsilonGreedy
3.0,3.96475372402288,EpsilonGreedy
3.0,3.9622422923033658,EpsilonGreedy
3.0,3.473112923633957,EpsilonGreedy
3.0,4.50466667240508,EpsilonGreedy
3.0,4.66565271841994,EpsilonGreedy
3.0,3.572219145103745,EpsilonGreedy
3.0,3.8989747528865926,EpsilonGreedy
3.0,3.9101574197061955,EpsilonGreedy
3.0,4.693055949207206,EpsilonGreedy
3.0,3.2897417917678835,EpsilonGreedy
3.0,2.6903879972723947,EpsilonGreedy
3.0,2.541308858561143,EpsilonGreedy
3.0,2.8286618323108765,EpsilonGreedy
3.0,3.8524326624502416,EpsilonGreedy
3.0,4.410697628971862,EpsilonGreedy
3.0,4.1592392013350015,EpsilonGreedy
3.0,2.4144792060588447,EpsilonGreedy
3.0,4.503758679452929,EpsilonGreedy
3.0,1.887891807520957,EpsilonGreedy
3.0,4.721381710192297,EpsilonGreedy
3.0,4.627579033250831,EpsilonGreedy
3.0,4.138549216181712,EpsilonGreedy
3.0,4.503138338499459,EpsilonGreedy
3.0,4.282123262554191,EpsilonGreedy
3.0,3.4832210654073466,EpsilonGreedy
3.0,4.663152240597693,EpsilonGreedy
3.0,3.5954075977359805,EpsilonGreedy
3.0,5.1642247883666705,EpsilonGreedy
3.0,3.7367667936992537,EpsilonGreedy
3.0,0.6507581428889782,EpsilonGreedy
3.0,6.4891472214820745,EpsilonGreedy
3.0,4.969474801073439,EpsilonGreedy
3.0,2.9611974333673032,EpsilonGreedy
3.0,5.278160128055656,EpsilonGreedy
3.0,2.990109167226932,EpsilonGreedy
3.0,3.1530761949986217,EpsilonGreedy
3.0,1.5943917582288596,EpsilonGreedy
3.0,5.751433431703317,EpsilonGreedy
3.0,3.752906388517225,EpsilonGreedy
3.0,2.357414828882556,EpsilonGreedy
3.0,3.209573158147938,EpsilonGreedy
3.0,4.19396213911873,EpsilonGreedy
3.0,3.393376215474102,EpsilonGreedy
3.0,3.4924025747939877,EpsilonGreedy
3.0,4.36236066206278,EpsilonGreedy
3.0,2.564718783217177,EpsilonGreedy
3.0,2.3330622405600483,EpsilonGreedy
3.0,3.37673699522165,EpsilonGreedy
3.0,3.5288832097123612,EpsilonGreedy
3.0,4.479358131050783,EpsilonGreedy
3.0,3.9925381161574047,EpsilonGreedy
3.0,4.309655683795761,EpsilonGreedy
3.0,3.73917554146352,EpsilonGreedy
3.0,4.095013365089406,EpsilonGreedy
3.0,4.194411076585499,EpsilonGreedy
3.0,4.529791165369901,EpsilonGreedy
3.0,2.762472282086613,EpsilonGreedy
3.0,4.096791555678342,EpsilonGreedy
3.0,5.189312308666821,EpsilonGreedy
3.0,3.8238853345605417,EpsilonGreedy
3.0,4.463613487171996,EpsilonGreedy
3.0,3.132474201677741,EpsilonGreedy
3.0,3.5878453696925123,EpsilonGreedy
3.0,2.8663011943250813,EpsilonGreedy
3.0,5.652836319694551,EpsilonGreedy
3.0,3.414616569623932,EpsilonGreedy
3.0,4.412258350665852,EpsilonGreedy
3.0,4.785439239813687,EpsilonGreedy
3.0,3.6438680605017626,EpsilonGreedy
3.0,4.043903984269423,EpsilonGreedy
3.0,3.7005412233882278,EpsilonGreedy
3.0,3.921022010602772,EpsilonGreedy
3.0,4.928243760491842,EpsilonGreedy
3.0,4.07296811710819,EpsilonGreedy
3.0,3.5341087725276217,EpsilonGreedy
3.0,4.064607597101115,EpsilonGreedy
3.0,4.970958271196887,EpsilonGreedy
3.0,2.7710833440992935,EpsilonGreedy
3.0,5.34548483852732,EpsilonGreedy
3.0,2.9366053106558807,EpsilonGreedy
3.0,4.909357280718458,EpsilonGreedy
3.0,4.674109096712236,EpsilonGreedy
3.0,4.001498407489521,EpsilonGreedy
3.0,5.086359869032461,EpsilonGreedy
3.0,4.143031939346041,EpsilonGreedy
3.0,5.691826488652312,EpsilonGreedy
3.0,3.421771487511271,EpsilonGreedy
3.0,1.9679694385823163,EpsilonGreedy
3.0,5.234608006003464,EpsilonGreedy
3.0,4.993022774846126,EpsilonGreedy
3.0,2.2885720422065408,EpsilonGreedy
3.0,5.450393103423718,EpsilonGreedy
3.0,3.5505830041972173,EpsilonGreedy
3.0,5.429133357830764,EpsilonGreedy
3.0,2.718512491983229,EpsilonGreedy
3.0,4.78955616436748,EpsilonGreedy
3.0,4.1800886145715594,EpsilonGreedy
3.0,5.797418008000138,EpsilonGreedy
3.0,3.4422254265661314,EpsilonGreedy
3.0,3.842295745016231,EpsilonGreedy
3.0,4.37566560282283,EpsilonGreedy
3.0,3.7482587447629747,EpsilonGreedy
3.0,3.9137510456009834,EpsilonGreedy
3.0,4.4089211802876225,EpsilonGreedy
3.0,4.590065176154292,EpsilonGreedy
3.0,3.8797720542852336,EpsilonGreedy
3.0,4.45697213895201,EpsilonGreedy
3.0,3.9671859303100554,EpsilonGreedy
3.0,4.982244760540854,EpsilonGreedy
3.0,4.490388122250716,EpsilonGreedy
3.0,4.957465575980521,EpsilonGreedy
3.0,4.955647950869208,EpsilonGreedy
3.0,3.0345767393597853,EpsilonGreedy
3.0,4.5489949806466905,EpsilonGreedy
3.0,5.296254058800504,EpsilonGreedy
3.0,3.2629382814147854,EpsilonGreedy
3.0,5.441711732799469,EpsilonGreedy
3.0,3.098677433019567,EpsilonGreedy
3.0,5.062874145647793,EpsilonGreedy
3.0,4.076245663966562,EpsilonGreedy
3.0,4.254788460296688,EpsilonGreedy
3.0,3.899016090574875,EpsilonGreedy
3.0,3.7622967156204075,EpsilonGreedy
3.0,4.7203058606250305,EpsilonGreedy
3.0,2.096957339722833,EpsilonGreedy
3.0,3.295625429372037,EpsilonGreedy
3.0,4.34757192919311,EpsilonGreedy
3.0,3.736091998967128,EpsilonGreedy
3.0,3.254021912040507,EpsilonGreedy
